tweet_id,customer_text,predicted_intent,confidence,baseline_intent,draft_reply,escalate,escalation_reason,actual_brand_reply,judge_groundedness,judge_helpfulness,judge_tone,judge_correctness,judge_overall,judge_justification
304737,"I upgraded to 2108 and now when I preview Adobe files it only shows the app icon, not a preview of the artwork. I can send a screenshot if it would help.",bug_crash,0.9,feedback_praise,"""Hi there! Sorry to hear that previewing Adobe files isn't working as expected. Can you DM us a screenshot of the issue & your Adobe 2108 version details? We'll loop in an expert to help you out ASAP. ^Raj""",False,intent 'bug_crash' with confidence 0.90 is safe to auto-handle,.We're looping in an expert who can help you out here. They will reply as soon as they're available. ^Raj,4,5,5,5,5,"The reply accurately loops in an expert, provides a clear next step (DMing a screenshot), and matches the tone and style of a typical AdobeCare Twitter response."
2651695,"Hi guys, I cant update my payment -ccard- information as the dialog box updating data payment, wont open. Can You assist me please?",billing_dispute,0.9,subscription_mgmt,"""Hi there, would you mind private messaging us your Adobe ID (email) with more details on your issue? We're here to help! Thanks! ^ZA""",False,intent 'billing_dispute' with confidence 0.90 is safe to auto-handle,"Hi there, would you mind private messaging us your Adobe ID (email) with more details on your issue? We're here to help! Thanks! ^ZA",5,5,5,5,5,"The reply is a direct copy of a known AdobeCare response to a similar issue, providing the same solution and tone."
119798,Still no response? :(,feedback_praise,0.8,billing_dispute,"""Sorry to hear that! Can you please DM us more details about the issue, like your account email & the error message you're seeing? That way, we can help you faster. ^AK""",False,intent 'feedback_praise' with confidence 0.80 is safe to auto-handle,"Hi Jonas, Sorry for the delay in response. Could you please try renaming the ""Sync.lrdata"" file? On a Windows PC it would be located at C:\Users\\AppData\Local\Adobe\Lightroom\Caches\Sync Data\Sync.lrdata Adding DM link for more space. Thanks, ^AK",4,5,5,5,5,"The reply provides a clear next step and a warm tone, while accurately asking for necessary details to resolve the issue, mirroring a similar past AdobeCare reply."
1998175,Thanks! Issue is solved..!!,feedback_praise,1.0,feedback_praise,"""Great to hear! If you need any further assistance or have questions about your resolved issue, feel free to DM us. We're here to help! ^Raj""",True,message contains escalation keyword(s): ['sue'],Great to hear! Give us a shout if you need anything else. 👍^Raj,5,4,5,5,4,"The reply is brief and warm, but slightly over-encouraging, as the original tweet only mentions the issue being solved, without explicitly stating a need for further assistance."
1933921,"Hi Adobe! Is there anyway I can buy Photoshop as an app, and not under subscription? A heads-up, this is for a MacBook. Thanks!",how_to,0.9,account_access,"""Hi there! Adobe only sells Photoshop as part of a subscription plan. We don't offer a perpetual license for Photoshop on a MacBook. Would you like to know more about our plans or purchase options? DM us for more info! ^SV""",False,intent 'how_to' with confidence 0.90 is safe to auto-handle,"Hi Portia, Adobe only sells the Photoshop Elements as a perpetual license. Here is a link to show you. ^SV",4,4,5,5,4,"The reply accurately reflects Adobe's current policy on Photoshop licensing, but the offer to DM for more info may not be necessary given the customer's question."
827768,"Hi, I'm trying to download photos from adobe stock and when I click the download button, it says it downloads, but it doesn't show up in my downloads folder",how_to,0.8,how_to,"""Hi, sorry to hear that! Can you DM us your Adobe Stock download history and the exact error message you're seeing? This will help us troubleshoot the issue. ^SV""",False,intent 'how_to' with confidence 0.80 is safe to auto-handle,"Hi Denise, we are currently having a outage with our Adobe stock images with downloading. This has been reported to our team. ^SV",4,4,5,5,4,"The reply provides a clear next step and acknowledges the customer's issue, but lacks a direct reference to a similar past issue, instead asking for additional information that may not be necessary for troubleshooting."
2565357,"hi, can someone contact me pls? Online contact form is hanging &amp; no other way to get in touch. I've been paying for an CC plan I've been locked out of for 18 + months! :-(",account_access,0.9,account_access,"""Hi, we're so sorry to hear you're locked out of your CC plan. Can you please DM us your Adobe ID (email) and more info on the issue so we can assist you further? We're here to help! ^Madison""",False,intent 'account_access' with confidence 0.90 is safe to auto-handle,"Hi Alice, we’re so sorry to hear this. Can you provide more detail on what’s going on with CC? Would you mind sending us your Adobe ID (email) and more info on the issue? We’re here to help! ^Madison",4,4,5,5,4,"The reply matches the tone and structure of a typical AdobeCare tweet, and provides a clear next step for the customer to DM the support team with their Adobe ID and issue details."
1264921,"I got charged twice. It was my year renewal and I choose the Student/Teacher edition, but I got charged $20’and $30 dollars",billing_dispute,0.9,billing_dispute,"""Hi there, sorry to hear that you got charged twice. Can you DM us more details about your account, including your order number and the dates of the charges? We'll look into this for you. Thanks! ^NR""",False,intent 'billing_dispute' with confidence 0.90 is safe to auto-handle,"Hi Jocelyn, we have replied to your DM. Thanks ^NR",4,5,5,5,5,"The reply provides a clear next step and matches the tone and language of AdobeCare's past replies, while also being accurate and helpful."
1686710,When you can get issues resolved faster by twitter than their actual help line! Thanks,feedback_praise,0.9,feedback_praise,"""Tiffany, thanks for the great feedback! We're glad we could help you quickly. If you need further assistance, feel free to DM us with more details about your issue.""",True,message contains escalation keyword(s): ['sue'],"Tiffany, thanks for the great feedback. Please feel free to reach out to us if you need help again. ^Scott",4,4,5,5,4,"The reply matches the tone and structure of a typical AdobeCare response, and provides a clear next step for further assistance, but slightly overemphasizes the speed of resolution, which is not explicitly mentioned in the original tweet."
126587,"Very disappointed in not informing me of my subscription upgrade rising to £50 p/month, and now I've noticed myself, the option to cancel includes a £274 cancellation fee. Not fair at all considering they're offering new customers it for £40.",billing_dispute,0.9,subscription_mgmt,"""Sorry to hear that! Can you please DM your Adobe ID and a brief explanation of your subscription upgrade concerns? We'll look into this for you. Thanks! ^Raj""",False,intent 'billing_dispute' with confidence 0.90 is safe to auto-handle,Would you mind private messaging your Adobe ID(Email) so that we can look into it. Thanks ^Raj,4,4,5,5,4,"The reply matches the tone and structure of a typical AdobeCare response, and provides a clear next step for the customer to resolve the issue, while avoiding factual claims that contradict the context or common sense."
