tweet_id,customer_text,brand_reply_text
1001,"Photoshop keeps crashing every time I try to open a PSD file, this is so frustrating","Sorry to hear that! Can you tell us your OS version and Photoshop version via DM? Try clearing the Photoshop cache first: Edit > Purge > All."
1002,"My Creative Cloud subscription got renewed but I cancelled it last month, I want a refund","We understand your frustration. Please DM us your account email and order number so our billing team can look into a refund."
1003,"how do I download lightroom on my new laptop, I already have a license","You can redownload from creativecloud.adobe.com after logging in with your Adobe ID. Let us know if you hit any errors!"
1004,"I can't log into my adobe account, it says my password is wrong but I know it's right","Try resetting your password at account.adobe.com/reset. If that doesn't work, DM us your account email (not password) and we'll investigate."
1005,"illustrator is so slow on my m1 mac, any fixes?","Make sure you're on the latest Illustrator update, which has improved Apple Silicon performance. Also try Preferences > Performance and lowering the scratch disk usage."
1006,"someone else logged into my adobe account and changed my email, please help urgently","This sounds like unauthorized account access - please DM us immediately with your account details so our security team can lock down the account."
1007,"acrobat won't let me edit a pdf i own, keeps saying trial expired but i paid","Sorry about that! Please DM your order confirmation number and we'll check your license status right away."
1008,"just a suggestion - would be great if premiere pro had better multicam support","Thanks for the suggestion! We'll pass this along to the product team as feedback."
1009,"why is my creative cloud storage full when i barely uploaded anything","Storage can fill up from Camera Raw cache or old cloud documents. Check creativecloud.adobe.com/files to review what's synced."
1010,"I was charged twice this month for my subscription","We're sorry about the duplicate charge. Please DM your account email and the two charge dates/amounts so billing can refund the extra one."
1011,"lightroom mobile keeps logging me out every day, so annoying","Try updating to the latest app version and toggling off battery optimization for the app in your phone settings."
1012,"can you cancel my subscription immediately, i no longer need it","We can help with that - please DM your account email and we'll process the cancellation, but note early cancellation may include an early termination fee depending on your plan."
1013,"my payment method was declined but the card is definitely valid","Sometimes banks flag recurring charges - try re-entering the card at account.adobe.com/plans. If it still fails, DM us your account email."
1014,"is there a student discount for the whole creative cloud suite","Yes! Students and teachers get up to 65% off. Check eligibility at adobe.com/education/students.html"
1015,"after dark comment about wanting to sue adobe over a billing dispute, this is unacceptable","We take this seriously - please DM your account email and order details so our billing team can resolve this directly."
1016,"font not loading properly in indesign after the update","Try Preferences > File Handling > Font Downloading and re-syncing your Creative Cloud fonts."
1017,"my credit card info was possibly leaked after using your site, im worried","This is a serious concern - please DM us immediately and we will loop in our security and privacy team."
1018,"just wanted to say your support team helped me yesterday, thanks!","That's great to hear, thanks for letting us know! 😊"
1019,"how do i change my billing address on my account","You can update billing info under account.adobe.com/plans by editing your payment method."
1020,"xd is crashing on export to pdf every single time","Please try updating to the latest XD version, and if it persists, DM your OS + XD version so we can dig into logs with you."
