tweet_id,customer_text,brand_reply_text,created_at
304737,"I upgraded to 2108 and now when I preview Adobe files it only shows the app icon, not a preview of the artwork. I can send a screenshot if it would help.",.We're looping in an expert who can help you out here. They will reply as soon as they're available. ^Raj,Fri Nov 10 00:05:27 +0000 2017
2651695,"Hi guys, I cant update my payment -ccard- information as the dialog box updating data payment, wont open. Can You assist me please?","Hi there, would you mind private messaging us your Adobe ID (email) with more details on your issue? We're here to help! Thanks! ^ZA",Sat Nov 18 15:43:58 +0000 2017
119798,Still no response? :(,"Hi Jonas, Sorry for the delay in response. Could you please try renaming the ""Sync.lrdata"" file? On a Windows PC it would be located at C:\Users\\AppData\Local\Adobe\Lightroom\Caches\Sync Data\Sync.lrdata Adding DM link for more space. Thanks, ^AK",Wed Nov 29 17:04:52 +0000 2017
1998175,Thanks! Issue is solved..!!,Great to hear! Give us a shout if you need anything else. 👍^Raj,Tue Nov 21 06:31:54 +0000 2017
1933921,"Hi Adobe! Is there anyway I can buy Photoshop as an app, and not under subscription? A heads-up, this is for a MacBook. Thanks!","Hi Portia, Adobe only sells the Photoshop Elements as a perpetual license. Here is a link to show you. ^SV",Sun Oct 29 01:38:12 +0000 2017
827768,"Hi, I'm trying to download photos from adobe stock and when I click the download button, it says it downloads, but it doesn't show up in my downloads folder","Hi Denise, we are currently having a outage with our Adobe stock images with downloading. This has been reported to our team. ^SV",Sun Oct 08 22:58:42 +0000 2017
2565357,"hi, can someone contact me pls? Online contact form is hanging &amp; no other way to get in touch. I've been paying for an CC plan I've been locked out of for 18 + months! :-(","Hi Alice, we’re so sorry to hear this. Can you provide more detail on what’s going on with CC? Would you mind sending us your Adobe ID (email) and more info on the issue? We’re here to help! ^Madison",Thu Nov 16 18:49:47 +0000 2017
1264921,"I got charged twice. It was my year renewal and I choose the Student/Teacher edition, but I got charged $20’and $30 dollars","Hi Jocelyn, we have replied to your DM. Thanks ^NR",Thu Oct 26 12:03:19 +0000 2017
1686710,When you can get issues resolved faster by twitter than their actual help line! Thanks,"Tiffany, thanks for the great feedback. Please feel free to reach out to us if you need help again. ^Scott",Mon Nov 06 19:28:26 +0000 2017
126587,"Very disappointed in not informing me of my subscription upgrade rising to £50 p/month, and now I've noticed myself, the option to cancel includes a £274 cancellation fee. Not fair at all considering they're offering new customers it for £40.",Would you mind private messaging your Adobe ID(Email) so that we can look into it. Thanks ^Raj,Fri Nov 24 03:10:44 +0000 2017
